claim_id,claim,source_ids,confidence
C001,Метод Лаб публично описывает клиентскую и серверную оптимизацию сайта,S002;S003,high
C002,Метод Лаб публично описывает отдельную оптимизацию MySQL MariaDB и Percona Server,S005,high
C003,Метод Лаб публично предлагает нагрузочное тестирование,S006,high
C004,Метод Лаб рассматривает PageSpeed как часть диагностики производительности,S004,high
C005,Пятый фактор раскрывает Core Web Vitals и Lighthouse в услуге ускорения,S007;S008,high
C006,Пятый фактор публикует измерения до и после по кейсу IdealBeds,S007,high
C007,Intaro публикует архитектурную и измеримую фактуру кейса SuperStep,S009,high
C008,Intaro имеет публичную highload e-commerce практику,S010,medium
C009,ИНТЕРВОЛГА описывает технический аудит и нагрузочную диагностику,S011,high
C010,Ecomtools описывает клиентскую и серверную оптимизацию и подготовку к высокой нагрузке,S012,medium
C011,GROTEM описывает профилирование кода БД API инфраструктуры и нагрузочные проверки,S013,high
C012,KISLOROD публикует нагрузочные сценарии и измерения RPS,S014,high
C013,KISLOROD публикует кейс ускорения каталога и серверной архитектуры,S015,medium
C014,Braind выделяет производительность и подготовку к пиковой нагрузке,S016,medium
C015,ITSumma публикует кейс с несколькими итерациями нагрузочного тестирования,S017,high
C016,Тест-сервис описывает аудит с TTFB LCP PHP MySQL и коммерческими условиями,S018,high
C017,Интернет Системы описывает Core Web Vitals PageSpeed RUM frontend сервер БД и замеры до/после,S019,high
C018,OpenStart описывает LCP INP TTFB сервер БД кеш frontend и внедрение на тестовой версии,S020,high
C019,Битроид описывает Core Web Vitals TTFB Redis Memcached CDN и серверную оптимизацию,S021,high
C020,STTE описывает Core Web Vitals PageSpeed JS CSS MySQL Redis Nginx и повторные замеры,S022,high
C021,WebStudiy описывает Core Web Vitals изображения CSS JS кеш CDN и серверные настройки,S023,high
C022,PageSpeed Insights использует лабораторные Lighthouse и полевые CrUX данные,S024,high
C023,Полевые данные PageSpeed отражают опыт реальных пользователей за предыдущие 28 дней,S024,high
C024,Хорошие пороги Core Web Vitals включают LCP 2.5 с INP 200 мс CLS 0.1 на 75-м процентиле,S025,high
C025,Цена участника не является отдельным критерием и учитывается только через прозрачность услуги,SCORING_MODEL.csv;METHODOLOGY.md,high
