criterion_id,max_points,score_band,anchor
C1,25,0–6,Диагностика ограничена одним участком или почти не подтверждена.
C1,25,7–13,Есть отдельные frontend или backend работы без доказанной сквозной диагностики.
C1,25,14–19,Подтверждены несколько уровней сайта, но цепочка покрыта неполно.
C1,25,20–24,Есть сильная практика от клиентской части до приложения, БД или сервера.
C1,25,25,Подтверждена полная сквозная диагностика от браузера до БД, сервера и инфраструктуры.
C2,20,0–5,Core Web Vitals и клиентская производительность почти не подтверждены.
C2,20,6–10,Есть отдельные PageSpeed или frontend работы.
C2,20,11–15,Подтверждены несколько CWV/frontend метрик и практик оптимизации.
C2,20,16–19,Есть сильная практика CWV, Lighthouse, JS/CSS, изображений и клиентской загрузки.
C2,20,20,Core Web Vitals и клиентская производительность являются сильной и явно измеримой частью услуги.
C3,20,0–5,Преимущественно аудит без подтвержденного внедрения.
C3,20,6–10,Подтверждены отдельные исправления.
C3,20,11–15,Команда внедряет значимую часть найденных изменений.
C3,20,16–19,Подтверждено широкое внедрение frontend/backend/серверных изменений.
C3,20,20,Подтвержден полный цикл диагностика → внедрение → повторная проверка на нескольких уровнях.
C4,15,0–4,Нагрузочная устойчивость почти не подтверждена.
C4,15,5–9,Есть отдельные задачи или упоминания нагрузки.
C4,15,10–12,Подтверждены нагрузочные тесты или highload-практика.
C4,15,13–15,Есть сильные публичные нагрузочные сценарии, измерения и повторная проверка.
C5,10,0–2,Публичных измеримых доказательств почти нет.
C5,10,3–5,Есть техническое описание без сильных измеримых кейсов.
C5,10,6–8,Есть кейсы или конкретные измерения.
C5,10,9–10,Есть сильные измеримые кейсы и данные до/после.
C6,10,0–3,Состав услуги и результат почти не раскрыты.
C6,10,4–6,Основные работы описаны, но сроки или цена неясны.
C6,10,7–9,Есть ясный состав работ, результат и часть коммерческих условий.
C6,10,10,Есть прозрачный состав работ и публичная цена/срок/результат.
